Name,Gesture
1_1_1_1.png,1
1_1_1_2.png,1
1_1_1_3.png,1
1_1_1_4.png,1
1_1_1_5.png,1
1_1_1_6.png,1
1_2_1_1.png,1
1_2_1_2.png,1
1_2_1_3.png,1
1_2_1_4.png,1
1_2_1_5.png,1
1_2_1_6.png,1
1_3_1_1.png,1
1_3_1_2.png,1
1_3_1_3.png,1
1_3_1_4.png,1
1_3_1_5.png,1
1_3_1_6.png,1
1_1_2_1.png,2
1_1_2_2.png,2
1_1_2_3.png,2
1_1_2_4.png,2
1_1_2_5.png,2
1_1_2_6.png,2
1_2_2_1.png,2
1_2_2_2.png,2
1_2_2_3.png,2
1_2_2_4.png,2
1_2_2_5.png,2
1_2_2_6.png,2
1_3_2_1.png,2
1_3_2_2.png,2
1_3_2_3.png,2
1_3_2_4.png,2
1_3_2_5.png,2
1_3_2_6.png,2
1_1_3_1.png,3
1_1_3_2.png,3
1_1_3_3.png,3
1_1_3_4.png,3
1_1_3_5.png,3
1_1_3_6.png,3
1_2_3_1.png,3
1_2_3_2.png,3
1_2_3_3.png,3
1_2_3_4.png,3
1_2_3_5.png,3
1_2_3_6.png,3
1_3_3_1.png,3
1_3_3_2.png,3
1_3_3_3.png,3
1_3_3_4.png,3
1_3_3_5.png,3
1_3_3_6.png,3
1_1_4_1.png,4
1_1_4_2.png,4
1_1_4_3.png,4
1_1_4_4.png,4
1_1_4_5.png,4
1_1_4_6.png,4
1_2_4_1.png,4
1_2_4_2.png,4
1_2_4_3.png,4
1_2_4_4.png,4
1_2_4_5.png,4
1_2_4_6.png,4
1_3_4_1.png,4
1_3_4_2.png,4
1_3_4_3.png,4
1_3_4_4.png,4
1_3_4_5.png,4
1_3_4_6.png,4
1_1_5_1.png,5
1_1_5_2.png,5
1_1_5_3.png,5
1_1_5_4.png,5
1_1_5_5.png,5
1_1_5_6.png,5
1_2_5_1.png,5
1_2_5_2.png,5
1_2_5_3.png,5
1_2_5_4.png,5
1_2_5_5.png,5
